_id,quarter,industry1,industry2,industry3,employment_change
3626,2020-Q3,services,administrative and support services,cleaning and landscaping,-0.3
3627,2020-Q3,services,administrative and support services,other administrative and support services,-2.7
3628,2020-Q3,services,"community, social and personal services",public administration and education,6.4
3629,2020-Q3,services,"community, social and personal services",public administration,4.8
3630,2020-Q3,services,"community, social and personal services",education,1.5
3631,2020-Q3,services,"community, social and personal services",health and social services,3.5
3632,2020-Q3,services,"community, social and personal services","arts, entertainment and recreation",-3.8
3633,2020-Q3,services,"community, social and personal services","other community, social and personal services",-5.1
3634,2020-Q3,others,others,others,0.3
3635,2020-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3
3636,2020-Q4,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.5
3637,2020-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-1.5
3638,2020-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-1.3
3639,2020-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1.6
3640,2020-Q4,manufacturing,transport equipment,transport equipment,-5.7
3641,2020-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.4
3642,2020-Q4,construction,construction,construction,-15.6
3643,2020-Q4,services,wholesale and retail trade,wholesale trade,-0.5
3644,2020-Q4,services,wholesale and retail trade,retail trade,3
3645,2020-Q4,services,transportation and storage,land transport and supporting services,-
3646,2020-Q4,services,transportation and storage,water transport and supporting services,0.1
3647,2020-Q4,services,transportation and storage,air transport and supporting services,-2.2
3648,2020-Q4,services,transportation and storage,other transportation and storage services,0.9
3649,2020-Q4,services,accommodation and food services,accommodation,-0.3
3650,2020-Q4,services,accommodation and food services,food and beverage services,10.3
3651,2020-Q4,services,information and communications,"telecommunications, broadcasting and publishing",-
3652,2020-Q4,services,information and communications,it and other information services,1.3
3653,2020-Q4,services,financial and insurance services,financial services,-0.2
3654,2020-Q4,services,financial and insurance services,insurance services,0.3
3655,2020-Q4,services,real estate services,real estate services,-0.4
3656,2020-Q4,services,professional services,"legal, accounting and management services",-
3657,2020-Q4,services,professional services,architectural and engineering services,-0.5
3658,2020-Q4,services,professional services,other professional services,0.3
3659,2020-Q4,services,administrative and support services,security and investigation,-0.9
3660,2020-Q4,services,administrative and support services,cleaning and landscaping,0.3
3661,2020-Q4,services,administrative and support services,other administrative and support services,-1.4
3662,2020-Q4,services,"community, social and personal services",public administration and education,3.9
3663,2020-Q4,services,"community, social and personal services",public administration,2.1
3664,2020-Q4,services,"community, social and personal services",education,1.8
3665,2020-Q4,services,"community, social and personal services",health and social services,2.3
3666,2020-Q4,services,"community, social and personal services","arts, entertainment and recreation",-0.3
3667,2020-Q4,services,"community, social and personal services","other community, social and personal services",2.4
3668,2020-Q4,others,others,others,-
3669,2021-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4
3670,2021-Q1,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.2
3671,2021-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",1.1
3672,2021-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.4
3673,2021-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1.8
3674,2021-Q1,manufacturing,transport equipment,transport equipment,-2.8
3675,2021-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.1
3676,2021-Q1,construction,construction,construction,0.6
3677,2021-Q1,services,wholesale and retail trade,wholesale trade,-0.5
3678,2021-Q1,services,wholesale and retail trade,retail trade,-0.2
3679,2021-Q1,services,transportation and storage,land transport and supporting services,-
3680,2021-Q1,services,transportation and storage,water transport and supporting services,0.4
3681,2021-Q1,services,transportation and storage,air transport and supporting services,-1.4
3682,2021-Q1,services,transportation and storage,other transportation and storage services,1
3683,2021-Q1,services,accommodation and food services,accommodation,-1.3
3684,2021-Q1,services,accommodation and food services,food and beverage services,2.9
3685,2021-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.4
3686,2021-Q1,services,information and communications,it and other information services,2.5
3687,2021-Q1,services,financial and insurance services,financial services,0.7
3688,2021-Q1,services,financial and insurance services,insurance services,0.3
3689,2021-Q1,services,real estate services,real estate services,-0.4
3690,2021-Q1,services,professional services,"legal, accounting and management services",0.4
3691,2021-Q1,services,professional services,architectural and engineering services,-0.1
3692,2021-Q1,services,professional services,other professional services,0.7
3693,2021-Q1,services,administrative and support services,security and investigation,-0.2
3694,2021-Q1,services,administrative and support services,cleaning and landscaping,-
3695,2021-Q1,services,administrative and support services,other administrative and support services,2.4
3696,2021-Q1,services,"community, social and personal services",public administration and education,2.6
3697,2021-Q1,services,"community, social and personal services",public administration,1.4
3698,2021-Q1,services,"community, social and personal services",education,1.2
3699,2021-Q1,services,"community, social and personal services",health and social services,3.1
3700,2021-Q1,services,"community, social and personal services","arts, entertainment and recreation",-0.2
3701,2021-Q1,services,"community, social and personal services","other community, social and personal services",4.1
3702,2021-Q1,others,others,others,0.1
3703,2021-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-
